V1	sign	V2
YDR076W	1	YOL009C
YDR076W	1	YDR032C
YDR076W	1	YML112W
YDR076W	1	YOR209C
YDR076W	1	YBR136W
YDR076W	1	YBL088C
YDR076W	1	YOR346W
YDR076W	1	YCL008C
YDR076W	1	YNL097C
YDR076W	1	YLR265C
YDR076W	1	YER104W
YDR076W	1	YEL050C
YDR076W	1	YHR200W
YDR076W	1	YCL016C
YDR076W	1	YGL090W
YDR076W	1	YNL330C
YDR076W	1	YKR082W
YDR076W	1	YHR206W
YDR076W	1	YDR419W
YDR076W	1	YER116C
YDR076W	1	YJR104C
YDR076W	1	YBR111W______a
YDR076W	1	YML007W
YDR076W	1	YKL113C
YDR076W	1	YDR432W
YDR076W	1	YNR052C
YGR170W	1	YJR143C
YGR170W	1	YER154W
YGR170W	1	YGR199W
YGR170W	1	YNL264C
YGR170W	1	YMR272C
YGR170W	1	YDL049C
YGR170W	1	YER083C
YGR170W	1	YDR381W
YGR170W	1	YNL169C
YGR170W	1	YGR202C
YGR170W	1	YDR137W
YGR170W	1	YLL031C
YGR170W	1	YBR251W
YGR170W	1	YIL076W
YGR170W	1	YIL090W
YGR170W	1	YOL149W
YGR170W	1	YBR009C
YGR170W	1	YNR051C
YER138C	1	YMR139W
YER138C	1	YPR110C
YER138C	1	YDL059C
YER138C	1	YDR398W
YER138C	1	YBR135W
YER138C	1	YPL204W
YJL069C	1	YJL069C
YJL069C	1	YDR449C
YJL069C	1	YMR229C
YJL069C	1	YJR002W
YJL069C	1	YPL126W
YJL069C	1	YKL012W
YJL069C	1	YLR409C
YJL069C	1	YDR324C
YJL069C	1	YOR145C
YJL069C	1	YLR197W
YJL069C	1	YHR148W
YJL069C	1	YDL014W
YJL069C	1	YNL132W
YJL069C	1	YGR090W
YJL069C	1	YHR011W
YJL069C	1	YOR039W
YJL069C	1	YIL019W
YJL069C	1	YML093W
YJL069C	1	YIL035C
YJL069C	1	YOR061W
YJL069C	1	YDL185W
YJL069C	1	YCR057C
YJL069C	1	YJL109C
YJL069C	1	YOR078W
YJL069C	1	YGL019W
YJL069C	1	YKL099C
YJL069C	1	YOR090C
YJL069C	1	YPL086C
YJL069C	1	YLR222C
YJL069C	1	YJL010C
YJL069C	1	YGR128C
YJL069C	1	YKR060W
